id,pc,username,function name,Date,Time
1,WIN-C2KLK3CSEHN,Asus,load_data,02.04.2025,18:37:36
2,WIN-C2KLK3CSEHN,Asus,plot_pie_chart,02.04.2025,18:37:36
3,WIN-C2KLK3CSEHN,Asus,load_data,02.04.2025,18:41:16
4,WIN-C2KLK3CSEHN,Asus,plot_pie_chart,02.04.2025,18:41:16
